ian;mo;jo;jul;Sdepth(n);tminrec(n);tmaxrec(n);preciprec(n);lai(n);masec(n);mafruit;HR(1);HR(2);HR(3);HR(4);HR(5);resmes;drain;esol;et;zrac;tcult;AZnit(1);AZnit(2);AZnit(3);AZnit(4);AZnit(5);Qles;QNplante;azomes;inn;chargefruit;AZamm(1);AZamm(2);AZamm(3);AZamm(4);AZamm(5);CNgrain;concNO3les;drat;fapar;hauteur;Hmax;humidite;LRACH(1);LRACH(2);LRACH(3);LRACH(4);LRACH(5);mafrais;pdsfruitfrais;Qdrain;rnet;tmin(n);tmax(n);precip;TS(1);TS(2);TS(3)
2010; 1;11; 11;     0.56504;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    19.78212;    20.66941;    18.49287;     0.00000;     0.00000;   283.70731;     0.00000;     0.33268;     0.33268;     0.00000;    -0.50000;     1.05933;     0.21610;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91998;     1.00000;     0.00000;     1.08288;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.39494;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.48623;    -0.47425;    -0.46976
2010; 1;12; 12;     0.55374;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    19.55622;    20.66941;    18.49287;     0.00000;     0.00000;   283.21597;     0.00000;     0.49133;     0.49133;     0.00000;    -0.50000;     1.05924;     0.21606;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91985;     1.00000;     0.00000;     1.08289;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.36166;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.48761;    -0.47683;    -0.47279
2010; 1;13; 13;     0.54266;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    19.34297;    20.66941;    18.49287;     0.00000;     0.00000;   282.75217;     0.00000;     0.46382;     0.46382;     0.00000;    -0.50000;     1.05914;     0.21603;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91972;     1.00000;     0.00000;     1.08289;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.28772;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.48885;    -0.47914;    -0.47551
2010; 1;14; 14;     0.53181;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    19.31352;    20.66941;    18.49287;     0.00000;     0.00000;   282.68811;     0.00000;     0.06404;     0.06404;     0.00000;    -0.50000;     1.05906;     0.21600;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91960;     1.00000;     0.00000;     1.08290;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.28534;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.48996;    -0.48123;    -0.47796
2010; 1;15; 15;     0.52117;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    19.23137;    20.66941;    18.49287;     0.00000;     0.00000;   282.50943;     0.00000;     0.17869;     0.17869;     0.00000;    -0.25000;     1.05897;     0.21596;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91949;     1.00000;     0.00000;     1.08290;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.65518;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;     0.00000;     0.00000;    -0.35320;    -0.44301;    -0.47665
2010; 1;16; 16;     0.51075;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    19.16587;    20.66941;    18.49287;     0.00000;     0.00000;   282.36697;     0.00000;     0.14245;     0.14245;     0.00000;    -0.25000;     1.05889;     0.21593;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91937;     1.00000;     0.00000;     1.08291;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.71406;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;     0.00000;     0.00000;    -0.34288;    -0.42371;    -0.45398
2010; 1;17; 17;     0.50054;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    19.01712;    20.66941;    18.49287;     0.00000;     0.00000;   282.04343;     0.00000;     0.32355;     0.32355;     0.00000;    -0.50000;     1.05880;     0.21590;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91925;     1.00000;     0.00000;     1.08291;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.32502;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.47136;    -0.44643;    -0.43710
2010; 1;18; 18;     0.50052;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    18.88614;    20.66941;    18.49287;     0.00000;     0.00000;   281.75858;     0.00000;     0.28487;     0.28487;     0.00000;    -0.50000;     1.05872;     0.21586;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91913;     1.00000;     0.00000;     1.08292;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.52035;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.01000;    -0.50000;    -0.50000;     0.00000;    -0.47422;    -0.45179;    -0.44339
2010; 1;19; 19;     0.50051;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    18.84356;    20.66941;    18.49287;     0.00000;     0.00000;   281.66595;     0.00000;     0.09262;     0.09262;     0.00000;    -0.50000;     1.05864;     0.21583;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91901;     1.00000;     0.00000;     1.08293;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.71109;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.15475;    -0.50000;    -0.50000;     0.00000;    -0.47680;    -0.45661;    -0.44905
2010; 1;20; 20;     0.49050;    -0.50000;    -0.50000;     0.00000;     0.00000;     0.00000;     0.00000;    18.80666;    20.66941;    18.49287;     0.00000;     0.00000;   281.58569;     0.00000;     0.08026;     0.08026;     0.00000;    -0.50000;     1.05855;     0.21580;     1.64455;     0.00000;     0.00000;     0.00345;     0.00000;     2.91890;     1.00000;     0.00000;     1.08293;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;    13.31425;     0.00000;     0.00000;     0.00000;     0.75534;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.26977;    -0.50000;    -0.50000;     0.00000;    -0.47912;    -0.46095;    -0.45415
